time,signal
1.828,2006
1.832,2008
1.836,2006
1.84,2002
1.844,2000
1.848,2002
1.852,2000
1.856,2001
1.86,2000
1.864,2001
1.868,2006
1.872,2008
1.876,2009
1.88,2006
1.884,2010
1.888,2012
1.892,2016
1.896,2019
1.9,2019
1.904,2019
1.908,2016
1.912,2018
1.916,2017
1.92,2017
1.924,2017
1.928,2016
1.932,2015
1.936,2017
1.94,2017
1.944,2015
1.948,2016
1.952,2016
1.956,2015
1.96,2018
1.964,2018
1.968,2018
1.972,2019
1.976,2018
1.98,2003
1.984,1975
1.988,1951
1.992,2014
1.996,2168
2,2330
2.004,2580
2.008,2869
2.012,2869
2.016,2748
2.02,2741
2.024,2656
2.028,2485
2.032,2341
2.036,2256
2.04,2163
2.044,2072
2.048,2008
2.052,1987
2.056,1977
2.06,1974
2.064,1969
2.068,1964
2.072,1960
2.076,1960
2.08,1956
2.084,1948
2.088,1948
2.092,1949
2.096,1949
2.1,1946
2.104,1946
2.108,1947
2.112,1946
2.116,1946
2.12,1938
2.124,1933
2.128,1935
2.132,1937
2.136,1936
2.14,1934
2.144,1932
2.148,1933
2.152,1933
2.156,1933
2.16,1933
2.164,1931
2.168,1926
2.172,1926
2.176,1925
2.18,1919
2.184,1916
2.188,1916
2.192,1917
2.196,1913
2.2,1915
2.204,1915
2.208,1916
2.212,1916
2.216,1918
2.22,1925
2.224,1934
2.228,1951
2.232,1966
2.236,1978
2.24,1987
2.244,1997
2.248,2004
2.252,2012
2.256,2014
2.26,2020
2.264,2026
2.268,2028
2.272,2029
2.276,2028
2.28,2030
2.284,2037
2.288,2041
2.292,2039
2.296,2040
2.3,2038
2.304,2040
2.308,2037
2.312,2035
2.316,2036
2.32,2035
2.324,2030
2.328,2031
2.332,2034
2.336,2033
2.34,2030
2.344,2031
2.348,2029
2.352,2024
2.356,2023
2.36,2027
2.364,2022
2.368,2026
2.372,2022
2.376,2024
2.38,2023
2.384,2020
2.388,2020
2.392,2020
2.396,2018
2.4,2021
2.404,2027
2.408,2024
2.412,2027
2.416,2030
2.42,2031
2.424,2033
2.428,2030
2.432,2033
2.436,2030
2.44,2029
2.444,2030
2.448,2028
2.452,2031
2.456,2028
2.46,2032
2.464,2033
2.468,2035
2.472,2036
2.476,2032
2.48,2033
2.484,2036
2.488,2035
2.492,2036
2.496,2038
2.5,2033
2.504,2035
2.508,2040
2.512,2036
2.516,2035
2.52,2035
2.524,2034
2.528,2028
2.532,2024
2.536,2024
2.54,2031
2.544,2032
2.548,2034
2.552,2031
2.556,2028
2.56,2025
2.564,2028
2.568,2030
2.572,2031
2.576,2030
2.58,2032
2.584,2035
2.588,2032
2.592,2033
2.596,2035
2.6,2035
2.604,2035
2.608,2036
2.612,2040
2.616,2037
2.62,2038
2.624,2037
2.628,2033
2.632,2031
2.636,2018
2.64,1984
2.644,1961
2.648,2020
2.652,2169
2.656,2323
2.66,2567
2.664,2842
2.668,2884
2.672,2778
2.676,2790
2.68,2715
2.684,2546
2.688,2389
2.692,2292
2.696,2202
2.7,2110
2.704,2048
2.708,2009
2.712,1998
2.716,1991
2.72,1988
2.724,1987
2.728,1977
2.732,1977
2.736,1978
2.74,1977
2.744,1974
2.748,1974
2.752,1977
2.756,1975
2.76,1969
2.764,1969
2.768,1968
2.772,1965
2.776,1957
2.78,1953
2.784,1950
2.788,1952
2.792,1948
2.796,1948
2.8,1950
2.804,1948
2.808,1950
2.812,1950
2.816,1945
2.82,1945
2.824,1948
2.828,1948
2.832,1949
2.836,1948
2.84,1943
2.844,1937
2.848,1936
2.852,1937
2.856,1936
2.86,1937
2.864,1943
2.868,1951
2.872,1953
2.876,1956
2.88,1966
2.884,1975
2.888,1986
2.892,1994
2.896,2006
2.9,2016
2.904,2021
2.908,2029
2.912,2039
2.916,2041
2.92,2045
2.924,2045
2.928,2050
2.932,2056
2.936,2054
2.94,2054
2.944,2059
2.948,2062
2.952,2060
2.956,2056
2.96,2058
2.964,2059
2.968,2067
2.972,2080
2.976,2097
2.98,2130
2.984,2164
2.988,2200
2.992,2240
2.996,2272
3,2325
3.004,2405
3.008,2470
3.012,2535
3.016,2600
3.02,2633
3.024,2709
3.028,2824
3.032,2948
3.036,3061
3.04,3167
3.044,3219
3.048,3220
3.052,3108
3.056,2929
3.06,2655
3.064,2370
3.068,2138
3.072,2002
3.076,1972
3.08,1962
3.084,1955
3.088,1941
3.092,1926
3.096,1925
3.1,1931
3.104,1926
3.108,1920
3.112,1914
3.116,1910
3.12,1902
3.124,1893
3.128,1888
3.132,1886
3.136,1881
3.14,1873
3.144,1870
3.148,1864
3.152,1847
3.156,1839
3.16,1827
3.164,1826
3.168,1820
3.172,1807
3.176,1797
3.18,1789
3.184,1781
3.188,1778
3.192,1769
3.196,1768
3.2,1763
3.204,1763
3.208,1761
3.212,1762
3.216,1765
3.22,1768
3.224,1779
3.228,1789
3.232,1810
3.236,1828
3.24,1846
3.244,1865
3.248,1888
3.252,1911
3.256,1931
3.26,1957
3.264,1978
3.268,1997
3.272,2010
3.276,2024
3.28,2035
3.284,2039
3.288,2044
3.292,2049
3.296,2057
3.3,2058
3.304,2058
3.308,2062
3.312,2063
3.316,2065
3.32,2068
3.324,2070
3.328,2073
3.332,2074
3.336,2072
3.34,2073
3.344,2074
3.348,2074
3.352,2073
3.356,2073
3.36,2075
3.364,2073
3.368,2074
3.372,2075
3.376,2073
3.38,2069
3.384,2069
3.388,2066
3.392,2060
3.396,2060
3.4,2063
3.404,2066
3.408,2063
3.412,2063
3.416,2066
3.42,2066
3.424,2066
3.428,2069
3.432,2071
3.436,2072
3.44,2077
3.444,2077
3.448,2077
3.452,2076
3.456,2079
3.46,2079
3.464,2081
3.468,2080
3.472,2080
3.476,2079
3.48,2080
3.484,2078
3.488,2081
3.492,2081
3.496,2081
3.5,2081
3.504,2080
3.508,2083
3.512,2078
3.516,2071
3.52,2047
3.524,2018
3.528,2036
3.532,2156
3.536,2304
3.54,2493
3.544,2793
3.548,2951
3.552,2834
3.556,2819
3.56,2783
3.564,2636
3.568,2456
3.572,2353
3.576,2267
3.58,2164
3.584,2085
3.588,2040
3.592,2033
3.596,2022
3.6,2016
3.604,2016
3.608,2009
3.612,2007
3.616,2006
3.62,2003
3.624,1998
3.628,1997
3.632,1998
3.636,1998
3.64,1998
3.644,1996
3.648,1994
3.652,1991
3.656,1989
3.66,1986
3.664,1985
3.668,1986
3.672,1981
3.676,1979
3.68,1978
3.684,1975
3.688,1974
3.692,1972
3.696,1971
3.7,1964
3.704,1959
3.708,1960
3.712,1962
3.716,1966
3.72,1965
3.724,1963
3.728,1959
3.732,1958
3.736,1959
3.74,1964
3.744,1963
3.748,1967
3.752,1970
3.756,1980
3.76,1991
3.764,2001
3.768,2012
3.772,2021
3.776,2027
3.78,2039
3.784,2040
3.788,2042
3.792,2046
3.796,2050
3.8,2051
3.804,2049
3.808,2050
3.812,2049
3.816,2048
3.82,2048
3.824,2047
3.828,2050
3.832,2048
3.836,2053
3.84,2056
3.844,2053
3.848,2051
3.852,2053
3.856,2052
3.86,2047
3.864,2050
3.868,2049
3.872,2048
3.876,2049
3.88,2048
3.884,2046
3.888,2043
3.892,2040
3.896,2034
3.9,2032
3.904,2033
3.908,2029
3.912,2026
3.916,2019
3.92,2019
3.924,2015
3.928,2014
3.932,2013
3.936,2013
3.94,2013
3.944,2011
3.948,2006
3.952,2004
3.956,2006
3.96,2011
3.964,2016
3.968,2017
3.972,2014
3.976,2012
3.98,2009
3.984,2007
3.988,2006
3.992,2004
3.996,2005
4,2005
4.004,2002
4.008,2005
4.012,2003
4.016,2004
4.02,2003
4.024,2002
4.028,2001
4.032,2001
4.036,2001
4.04,1997
4.044,2003
4.048,1999
4.052,2000
4.056,1998
4.06,1996
4.064,1995
4.068,1996
4.072,1998
4.076,1996
4.08,1991
4.084,1991
4.088,1991
4.092,1995
4.096,1998
4.1,1999
4.104,1999
4.108,1997
4.112,1986
4.116,1959
4.12,1925
4.124,1956
4.128,2090
4.132,2228
4.136,2418
4.14,2728
4.144,2863
4.148,2748
4.152,2747
4.156,2687
4.16,2521
4.164,2358
4.168,2260
4.172,2173
4.176,2070
4.18,1987
4.184,1943
4.188,1934
4.192,1927
4.196,1923
4.2,1919
4.204,1914
4.208,1907
4.212,1910
4.216,1908
4.22,1906
4.224,1906
4.228,1899
4.232,1895
4.236,1887
4.24,1887
4.244,1883
4.248,1884
4.252,1883
4.256,1883
4.26,1880
4.264,1877
4.268,1872
4.272,1871
4.276,1868
4.28,1866
4.284,1868
4.288,1867
4.292,1870
4.296,1867
4.3,1864
4.304,1860
4.308,1857
4.312,1858
4.316,1854
4.32,1850
4.324,1852
4.328,1854
4.332,1851
4.336,1854
4.34,1859
4.344,1860
4.348,1864
4.352,1870
4.356,1877
4.36,1886
4.364,1896
4.368,1910
4.372,1921
4.376,1929
4.38,1938
4.384,1941
4.388,1944
4.392,1950
4.396,1951
4.4,1951
4.404,1952
4.408,1955
4.412,1953
4.416,1956
4.42,1953
4.424,1953
4.428,1955
4.432,1953
4.436,1954
4.44,1952
4.444,1950
4.448,1949
4.452,1950
4.456,1954
4.46,1955
4.464,1953
4.468,1947
4.472,1944
4.476,1941
4.48,1937
4.484,1934
4.488,1934
4.492,1936
4.496,1933
4.5,1936
4.504,1933
4.508,1928
4.512,1928
4.516,1929
4.52,1927
4.524,1922
4.528,1925
4.532,1923
4.536,1922
4.54,1923
4.544,1920
4.548,1919
4.552,1921
4.556,1923
4.56,1927
4.564,1929
4.568,1928
4.572,1930
4.576,1930
4.58,1933
4.584,1932
4.588,1933
4.592,1935
4.596,1939
4.6,1940
4.604,1941
4.608,1940
4.612,1938
4.616,1937
4.62,1937
4.624,1933
4.628,1937
4.632,1930
4.636,1930
4.64,1934
4.644,1933
4.648,1932
4.652,1933
4.656,1930
4.66,1933
4.664,1931
4.668,1929
4.672,1930
4.676,1930
4.68,1926
4.684,1924
4.688,1925
4.692,1923
4.696,1922
4.7,1923
4.704,1921
4.708,1920
4.712,1922
4.716,1927
4.72,1931
4.724,1920
4.728,1885
4.732,1867
4.736,1948
4.74,2111
4.744,2269
4.748,2548
4.752,2802
4.756,2775
4.76,2695
4.764,2680
4.768,2573
4.772,2400
4.776,2260
4.78,2166
4.784,2078
4.788,1990
4.792,1932
4.796,1905
4.8,1898
4.804,1895
4.808,1887
4.812,1876
4.816,1872
4.82,1874
4.824,1865
4.828,1858
4.832,1853
4.836,1858
4.84,1858
4.844,1857
4.848,1856
4.852,1862
4.856,1858
4.86,1856
4.864,1855
4.868,1856
4.872,1854
4.876,1850
4.88,1853
4.884,1849
4.888,1846
4.892,1845
4.896,1839
4.9,1841
4.904,1839
4.908,1834
4.912,1834
4.916,1835
4.92,1832
4.924,1828
4.928,1827
4.932,1827
4.936,1826
4.94,1828
4.944,1827
4.948,1829
4.952,1835
4.956,1843
4.96,1848
4.964,1858
4.968,1864
4.972,1877
4.976,1888
4.98,1897
4.984,1907
4.988,1916
4.992,1925
4.996,1931
5,1941
5.004,1946
5.008,1946
5.012,1950
5.016,1953
5.02,1950
5.024,1945
5.028,1943
5.032,1947
5.036,1944
5.04,1946
5.044,1949
5.048,1952
5.052,1953
5.056,1959
5.06,1969
5.064,1968
5.068,1968
5.072,1968
5.076,1971
5.08,1978
5.084,1981
5.088,2003
5.092,2093
5.096,2268
5.1,2444
5.104,2701
5.108,2894
5.112,2886
5.116,2872
5.12,2826
5.124,2664
5.128,2437
5.132,2285
5.136,2160
5.14,2035
5.144,1964
5.148,1936
5.152,1930
5.156,1918
5.16,1911
5.164,1911
5.168,1905
5.172,1899
5.176,1901
5.18,1899
5.184,1901
5.188,1892
5.192,1894
5.196,1893
5.2,1891
5.204,1885
5.208,1884
5.212,1881
5.216,1880
5.22,1876
